date,tmax_degC,tmin_degC,rainfall_mm,humidity_pct,radiation_wm2,wind_speed_ms,dewpoint_degC,surface_pressure_hpa,soil_moisture,evapotranspiration_mm
01-01-1951,15.9,9.9,0.0,80,185.53122000000002,13.0,8.8,951.8,0.353,2.27
02-01-1951,16.8,8.3,0.0,70,191.43395999999998,9.1,7.3,951.8,0.347,2.65
03-01-1951,18.5,8.1,0.0,73,151.15644,9.8,8.0,950.6,0.341,2.24
04-01-1951,19.7,8.8,0.0,74,183.21642,9.7,8.8,950.3,0.335,2.7
05-01-1951,21.3,9.1,0.0,71,173.26278,11.0,9.6,950.5,0.33,2.76
06-01-1951,20.8,12.9,3.9,73,155.20734,13.2,11.1,951.1,0.328,2.55
07-01-1951,22.0,12.6,0.5,72,161.57304000000002,12.3,11.2,952.4,0.333,2.58
08-01-1951,24.2,12.1,0.0,69,189.81359999999998,12.9,11.5,953.2,0.327,3.12
09-01-1951,23.2,12.4,0.0,77,168.28596,11.5,12.7,953.8,0.321,2.57
10-01-1951,23.5,11.2,0.0,69,182.8692,9.6,10.6,952.8,0.314,2.99
11-01-1951,24.1,10.6,0.0,66,180.5544,8.5,10.3,950.5,0.308,2.96
12-01-1951,23.5,13.0,3.1,73,148.61016,8.0,12.6,948.8,0.311,2.45
13-01-1951,22.7,12.1,2.6,81,169.09614,7.1,13.8,950.8,0.368,2.57
14-01-1951,21.1,13.3,1.1,78,167.12856,13.6,12.3,952.0,0.363,2.55
15-01-1951,18.7,13.9,15.8,85,132.63804000000002,9.4,13.7,950.5,0.392,1.89
16-01-1951,21.5,12.9,0.3,72,198.95706,13.2,10.5,951.0,0.413,3.13
17-01-1951,19.9,9.3,0.0,70,207.17459999999997,12.1,8.3,952.6,0.39,3.04
18-01-1951,21.3,8.5,0.0,70,215.27640000000002,11.0,8.7,951.4,0.374,3.13
19-01-1951,22.3,9.5,0.6,72,189.92934,10.9,10.5,949.2,0.362,2.93
20-01-1951,19.6,9.8,0.0,66,200.34593999999998,14.1,7.6,951.8,0.351,3.16
21-01-1951,19.1,8.2,0.0,64,217.47546,13.3,6.2,952.2,0.34,3.3
22-01-1951,19.8,8.2,0.0,66,222.10506,14.0,6.8,952.7,0.331,3.35
23-01-1951,20.1,7.4,0.0,63,215.97084,13.0,5.6,951.6,0.322,3.39
24-01-1951,21.0,7.3,0.0,54,194.09598,11.5,3.9,950.6,0.313,3.37
25-01-1951,22.9,7.1,0.0,58,213.5403,10.4,6.0,950.3,0.306,3.52
26-01-1951,24.4,9.7,0.0,63,203.58666,10.1,9.8,950.8,0.299,3.42
27-01-1951,24.3,11.1,0.0,63,223.49393999999998,9.3,8.9,951.7,0.294,3.77
28-01-1951,24.8,11.8,0.0,54,221.98932,10.2,7.3,950.3,0.289,3.86
29-01-1951,24.8,10.4,0.0,53,212.61438,9.4,7.2,948.4,0.283,3.69
30-01-1951,23.9,11.9,2.8,59,194.44320000000002,14.5,9.7,948.0,0.28,3.48
31-01-1951,24.0,14.9,0.0,55,209.25791999999998,23.9,8.7,947.8,0.278,4.07
01-02-1951,23.5,12.1,0.0,43,222.7995,14.9,4.2,950.2,0.274,4.29
02-02-1951,21.9,9.3,0.0,37,232.86888000000002,13.0,-0.3,951.1,0.271,4.28
03-02-1951,21.2,7.9,0.0,36,229.62816,15.0,-0.9,950.8,0.267,4.4
04-02-1951,19.6,9.7,1.3,63,179.51274,15.3,7.3,949.0,0.27,3.14
05-02-1951,21.8,10.4,2.1,76,140.97132,14.1,10.7,949.8,0.277,2.48
